,Hotel Name,Rating,Address,City Code,Place ID
1373,Jefferson Clinton Suites,4.3,"416 South Clinton Street, Syracuse",SYR,ChIJa_hOyrjz2YkRPNS3MsHdMlA
1374,Hilton Garden Inn Syracuse,4.3,"6004 Fair Lakes Road, East Syracuse",SYR,ChIJMRZlv6eS2YkRsqEZ4W4L3vU
1375,"Holiday Inn Express Syracuse Airport, an IHG Hotel",4,"5418 South Bay Road, North Syracuse",SYR,ChIJZcNblaLt2YkRbFxK7fMyW4Y
1376,Camp Cobbossee Inc,4.5,"3 New King Street # 1, West Harrison",HPN,ChIJCxCWS5C9wokRraf6PG250To
1377,Moorehead Manor,5,"1065 King Street, Greenwich",HPN,ChIJ7e1U3peXwokRVRxwr-Yl_Jc
1378,Cedar Hall,4.1,"1 Orchard Road, Armonk",HPN,ChIJNakqpbW9wokRTA6kcr3wc1E
1379,"Crowne Plaza Albany - the Desmond Hotel, an IHG Hotel",4.3,"660 Albany Shaker Road, Albany",ALB,ChIJ7Z55HvUM3okRxsDNMYb8DhI
1380,SureStay Plus Hotel By Best Western Albany Airport,3.2,"200 Wolf Road, Albany",ALB,ChIJZ5pjjIsM3okRykpQyo9Jxfg
1381,Marriott Albany,4.2,"189 Wolf Road, Albany",ALB,ChIJuer1J4kM3okRp4RBJOztaeA
1382,Hilton Garden Inn Albany Airport,4,"800 Albany Shaker Road, Albany",ALB,ChIJr6-fGd4M3okRH6zn1hg7LaU
1383,Hampton Inn Albany-Wolf Road (Airport),4.1,"10 Ulenski Drive, Albany",ALB,ChIJq0QkYooM3okRKyGRYaJfDwU
1384,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel",4.3,"4831 Tanger Outlet Boulevard, North Charleston",CHS,ChIJY5dR91tj_ogR_Wmf9kfe1ho
1385,Hilton Garden Inn Charleston Airport,4.2,"5265 International Boulevard, North Charleston",CHS,ChIJf5Y90U5j_ogRm4_4yWYS8yg
1386,Hyatt Place Charleston Airport/Convention Center,4.4,"3234 West Montague Avenue, North Charleston",CHS,ChIJQbhrLFJj_ogRBKUuArcBxIY
1387,"Home2 Suites by Hilton Charleston Airport/Convention Center, SC",4.3,"3401 West Montague Avenue, North Charleston",CHS,ChIJzyfruU1j_ogRs5UD_CYF8O8
1388,Quality Inn Coliseum,3.3,"5055 North Arco Lane, North Charleston",CHS,ChIJoVL_ZFlj_ogRTDhleKy_m6s
1389,"Holiday Inn Birmingham-Airport, an IHG Hotel",3.7,"5000 Richard Arrington Junior Boulevard North, Birmingham",BHM,ChIJK_5lyZIaiYgRlEEdCuHxgGg
1390,Ramada by Wyndham Birmingham Airport,2.9,"5216 Messer Airport Highway, Birmingham",BHM,ChIJcWB2C5QaiYgRJ1TJHJ0Hh8U
1391,Budgetel Inn and Suites,2.5,"5101 Messer Airport Highway, Birmingham",BHM,ChIJAQDAnJIaiYgRkVekQUQz_6Y
1392,Relax Inn,3.2,"6101 1st Avenue North, Birmingham",BHM,ChIJ6_vXbpwaiYgRMm_orphBceQ
1393,Motel 8 Inn,2.8,"5009 1st Avenue North, Birmingham",BHM,ChIJq6PIXYsaiYgR3Stt7v65iX8
1394,Homewood Suites by Hilton Richmond - Airport,3.8,"5996 Audubon Drive, Sandston",RIC,ChIJl0k-4rUbsYkR0DXWIITKIlQ
1395,Hampton Inn Richmond - Airport,4.2,"421 International Center Drive, Sandston",RIC,ChIJHZBt98obsYkRoIQN7tU5jSI
1396,Hilton Garden Inn Richmond Airport,4.1,"441 International Center Drive, Sandston",RIC,ChIJ-50YZ8obsYkRfTS2aQI5NlI
1397,Sheraton Richmond Airport Hotel,3.5,"5501 Eubank Road, Sandston",RIC,ChIJLwLzpFYasYkRbfhFy5RHtcQ
1398,Microtel Inn & Suites by Wyndham Richmond Airport,2.7,"6000 Audubon Drive, Sandston",RIC,ChIJQcG7crYbsYkROUijQw5ZtSw
1399,"Staybridge Suites Rochester University, an IHG Hotel",4.3,"1000 Genesee Street, Rochester",ROC,ChIJd9XGirm01okRzm2xLjyb8nI
1400,Courtyard by Marriott Rochester Brighton,4.1,"33 Corporate Woods, Rochester",ROC,ChIJmzuk7DpL0YkR95dXgAuYIWI
1401,Rodeway Inn Rochester Airport,3.2,"1273 Chili Avenue, Rochester",ROC,ChIJJ5MQwUOz1okRzn392ojxEXw
1402,Fairfield Inn by Marriott Rochester Airport,4,"1200 Brooks Avenue, Rochester",ROC,ChIJGTRMhk6z1okRHiz4WBttEJg
1403,Best Western The Inn At Rochester Airport,4,"395 Buell Road, Rochester",ROC,ChIJRXYN90-z1okR2yPD5PN_peA
1404,Days Inn & Suites by Wyndham Savannah North I-95,3.7,"105 Traveler's Way, Port Wentworth",SAV,ChIJNaxrVPCi-4gR7GjmQk0Nd1k
1405,Embassy Suites by Hilton Savannah Airport,4.2,"145 West Mulberry Boulevard, Savannah",SAV,ChIJUavq-fyj-4gR7VCriCgXUII
1406,Fairfield Inn & Suites by Marriott Savannah Airport,3.8,"10 Stephen South Green Drive, Savannah",SAV,ChIJyXj-Hlqh-4gRmrByUv8EdFM
1407,Inn at Mulberry Grove,3.5,"101 O'Leary Road, Savannah",SAV,ChIJ6Skg8vai-4gRUCjRnk_nNSE
1408,Hampton Inn and Suites Savannah-Airport,4.3,"70 Stephen South Green Drive, Savannah",SAV,ChIJyXj-Hlqh-4gRWJ0Lb9KoHno
